step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
977,0.0,1.0,,
978,5.72493,0.66667,,
979,0.0,1.0,,
980,4.97685,0.66667,,
981,0.0,1.0,,
982,8e-05,1.0,,
983,0.0,1.0,,
984,0.0,1.0,,
985,3.88584,0.66667,,
986,0.0,1.0,,
987,0.0,1.0,,
988,5.61987,0.66667,,
989,5.55834,0.66667,,
990,5.31301,0.66667,,
991,0.0,1.0,,
992,0.0,1.0,,
993,0.0,1.0,,
994,0.0,1.0,,
995,0.0,1.0,,
996,5.62267,0.66667,,
997,0.0,1.0,,
998,5.43287,0.66667,,
999,0.0,1.0,,
1000,0.00038,1.0,,
1001,3.64247,0.66667,0.01472,0.33333
1002,0.0,1.0,,
1003,5.14252,0.66667,,
1004,0.0,1.0,,
1005,0.0,1.0,,
1006,1e-05,1.0,,
1007,0.0,1.0,,
1008,4.80444,0.66667,,
1009,1.63342,0.66667,,
1010,4.36353,0.66667,,
1011,0.0,1.0,,
1012,4.95529,0.66667,,
1013,0.0,1.0,,
1014,0.0,1.0,,
1015,0.0,1.0,,
1016,4.88391,0.66667,,
1017,0.0,1.0,,
1018,0.0,1.0,,
1019,1.30312,0.66667,,
1020,0.0,1.0,,
1021,0.0,1.0,,
1022,1e-05,1.0,,
1023,4.61432,0.66667,,
1024,0.0,1.0,,
1025,0.0,1.0,,
1026,0.0,1.0,,
1027,0.23915,0.66667,,
1028,4.32409,0.66667,,
1029,0.0,1.0,,
1030,0.10929,1.0,,
1031,0.0,1.0,,
1032,0.0,1.0,,
1033,5.09774,0.66667,,
1034,0.0,1.0,,
1035,0.0,1.0,,
1036,1e-05,1.0,,
1037,2.74955,0.66667,,
1038,0.0,1.0,,
1039,0.0,1.0,,
1040,0.0,1.0,,
